raw,normalized
0.7,0.7
"$4,800",4800.0
"$701,900 ",701900.0
3.6,3.6
"$26,100",26100.0
202,202.0
1,1.0
3.6,3.6
202,202.0
4,4.0
202,202.0
2,2.0
17.6,17.6
"$149,700",149700.0
202,202.0
2 ,2.0
3 ,3.0
3,3.0
202,202.0
0 ,0.0
50 ,50.0
$600k,600000.0
201,201.0
9,9.0
90,90.0
90,90.0
15,15.0
20,20.0
3 ,3.0
4 ,4.0
$1,1.0
1.4 ,1.4
5,5.0
10 ,10.0
$3 ,3.0
201,201.0
6,6.0
50,50.0
3 ,3.0
500 ,500.0
000,0.0
90 ,90.0
202,202.0
5 ,5.0
"$712,200 ",712200.0
0.04,0.04
$300,300.0
7,7.0
202,202.0
4,4.0
2.1,2.1
"$15,300",15300.0
202,202.0
4,4.0
202,202.0
5 ,5.0
"$713,700",713700.0
9.3,9.3
"39,202 ",39202.0
200,200.0
9,9.0
1 ,1.0
7 ,7.0
200,200.0
9,9.0
13.1,13.1
"86,953 ",86953.0
45.1,45.1
11.1 ,11.1
200,200.0
9,9.0
90,90.0
16 ,16.0
101,101.0
400K,400000.0
202,202.0
5 ,5.0
200,200.0
8 ,8.0
0.4,0.4
"$1,073,900",1073900.0
1.8,1.8
7,7.0
"4,037 ",4037.0
27.5,27.5
5.4,5.4
"12,066 ",12066.0
34,34.0
40,40.0
8 ,8.0
101,101.0
10 ,10.0
101,101.0
10 ,10.0
"73,000 ",73000.0
3,3.0
3 ,3.0
4,4.0
202,202.0
5 ,5.0
202,202.0
4,4.0
202,202.0
5 ,5.0
400K,400000.0
20 ,20.0
10,10.0
15 ,15.0
120,120.0
0 ,0.0
$1M,1000000.0
1.5M,1500000.0
10,10.0
100k,100000.0
5,5.0
3 ,3.0
3 ,3.0
10 ,10.0
10 ,10.0
20 ,20.0
25,25.0
5,5.0
20,20.0
20 ,20.0
1,1.0
2 ,2.0
5,5.0
40k,40000.0
460,460.0
0,0.0
201,201.0
9,9.0
$180,180.0
0,0.0
15,15.0
30,30.0
200,200.0
15,15.0
15,15.0
20,20.0
30,30.0
200,200.0
300,300.0
1,1.0
2 ,2.0
7,7.0
100,100.0
89,89.0
90,90.0
50,50.0
10,10.0
400K,400000.0
201,201.0
5 ,5.0
202,202.0
4,4.0
9 ,9.0
8,8.0
44.1k,44100.0
202,202.0
3 ,3.0
43.6K,43600.0
201,201.0
5 ,5.0
1,1.0
1,1.0
40,40.0
201,201.0
4 ,4.0
17,17.0
201,201.0
4,4.0
30,30.0
201,201.0
4 ,4.0
202,202.0
4 ,4.0
5,5.0
0,0.0
17,17.0
201,201.0
4 ,4.0
$310,310.0
$555,555.0
2.08,2.08
1.85,1.85
201,201.0
5,5.0
$827,827.0
105,105.0
80,80.0
2.4 ,2.4
202,202.0
4 ,4.0
201,201.0
5 ,5.0
$445,445.0
201,201.0
5,5.0
200,200.0
0 ,0.0
45,45.0
30,30.0
202,202.0
5 ,5.0
1 ,1.0
4 ,4.0
1 ,1.0
4 ,4.0
28,28.0
39,39.0
36,36.0
25,25.0
22,22.0
2 ,2.0
5 ,5.0
44,44.0
905 ,905.0
33,33.0
3 ,3.0
1 ,1.0
4 ,4.0
26,26.0
16,16.0
15,15.0
1 ,1.0
7 ,7.0
2 ,2.0
5 ,5.0
39,39.0
10 ,10.0
10 ,10.0
30,30.0
27,27.0
1 ,1.0
4 ,4.0
2 ,2.0
5 ,5.0
42,42.0
18 ,18.0
24 ,24.0
25 ,25.0
54 ,54.0
32,32.0
35,35.0
1 ,1.0
4 ,4.0
25,25.0
55 ,55.0
64 ,64.0
13,13.0
65,65.0
10 ,10.0
$300k,300000.0
$1.2 ,1.2
4 ,4.0
200,200.0
0,0.0
198,198.0
0,0.0
30 ,30.0
10 ,10.0
202,202.0
5 ,5.0
200,200.0
8 ,8.0
2.5,2.5
202,202.0
1,1.0
1 ,1.0
11 ,11.0
1 ,1.0
10 ,10.0
30,30.0
3,3.0
10,10.0
202,202.0
5 ,5.0
5,5.0
1 ,1.0
202,202.0
4,4.0
202,202.0
2,2.0
"$130,000",130000.0
202,202.0
5 ,5.0
2,2.0
201,201.0
9,9.0
0.2,0.2
$6.2 ,6.2
$3.04 ,3.04
201,201.0
9,9.0
84,84.0
0.7,0.7
"$4,800",4800.0
"$701,900 ",701900.0
3.6,3.6
202,202.0
2,2.0
9 M,9000000.0
1.1,1.1
9 ,9.0
25,25.0
1.7 ,1.7
10,10.0
33,33.0
202,202.0
5 ,5.0
$1 ,1.0
15 ,15.0
90,90.0
$1.01 ,1.01
5.4,5.4
$58.1k,58100.0
$985.4k,985400.0
4.5,4.5
$46.2k,46200.0
$1 ,1.0
23.3,23.3
"5,601 ",5601.0
202,202.0
0,0.0
202,202.0
0,0.0
199,199.0
7,7.0
"18,836 ",18836.0
8.1,8.1
29.7,29.7
27.4k,27400.0
54.0,54.0
15 ,15.0
65,65.0
8,8.0
0,0.0
5 ,5.0
188,188.0
0,0.0
191,191.0
8 ,8.0
1,1.0
3 ,3.0
2,2.0
5,5.0
200,200.0
3,3.0
4 ,4.0
$10k,10000.0
200,200.0
8,8.0
200,200.0
9 ,9.0
201,201.0
6 ,6.0
$500,500.0
180 ,180.0
3 M,3000000.0
4,4.0
5,5.0
4 ,4.0
$500,500.0
600k,600000.0
10,10.0
500 ,500.0
"100,000 ",100000.0
202,202.0
5 ,5.0
